vestibular,questão,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,alternativa_correta,area_conhecimento,alternativa escolhida pela ia,modelo,processing time,temperature used during test
UNICAMP 26,"Em seu ensaio “A vida não é útil”, Ailton Krenak elege Carlos
Drummond de Andrade como um de seus “escudos”. Ele cita
a última estrofe de “O Homem; as Viagens”, poema publicado
em As impurezas do Branco (1973). Reproduzimos, a seguir, a
primeira e a segunda estrofe desse poema:  “O Homem; as Viagens O homem, bicho da Terra tão pequeno
chateia-se na Terra
lugar de muita miséria e pouca diversão,
faz um foguete, uma cápsula, um módulo
toca para a Lua
desce cauteloso na Lua
pisa na Lua
planta bandeirola na Lua
experimenta a Lua
coloniza a Lua
civiliza a Lua
humaniza a Lua.  Lua humanizada: tão igual à Terra.
O homem chateia-se na Lua.
Vamos para Marte – ordena a suas máquinas.
Elas obedecem, o homem desce em Marte
pisa em Marte
experimenta
coloniza
civiliza
humaniza Marte com engenho e arte.  Marte humanizado, que lugar quadrado. (...)”    Em relação às reflexões de Ailton Krenak, é correto afirmar que
esse trecho do poema","responsabiliza a ciência e tecnologia, desgastadas em seus
valores, pela corrosão das relações nas sociedades contem-
porâneas.","mostra que os Homens, guiados pela ideia de progresso,
não adotam uma postura consciente em relação ao seu es-
paço.","evidencia que a Terra, desgastada em seus valores, foi supe-
rada pelos elementos da conquista espacial.","identifica a aniquilação das sociedades contemporâneas nos
programas de governos persuadidos pelo progresso.",,B,Linguagens (Literatura),A,gemini/gemini-2.5-flash,15.7717,0.5
UNICAMP 26,"Leia os textos 1 e 2.   Texto 1
Aos óculos Só fingem que põem
o mundo ao alcance
dos meus olhos míopes. Na verdade, me exilam
dele com filtrar-lhe
a menor imagem. Já não vejo as coisas
como são: vejo-as como eles querem
que as veja. Logo, são eles que veem,
não eu que, mesmo cônscio
do logro, lhes sou grato por anteciparem em mim
o Édipo curioso
de suas próprias trevas.    Texto 2
“Do grego odé e do latim ōde (ou ōda), a ode era, na antigui-
dade clássica, um poema destinado a ser cantado, ou um canto
alegre, triste ou lírico. Era um poema de alguma extensão, de
elevado assunto ou nobre, expressando sentimentos ilustres,
em homenagem a algo ou a alguém. Apresentava também a
elaboração estrófica, bem como estilo formal nobre e cerimo-
nioso”.    É correto afirmar que a ode mínima de José Paulo Paes reelabo-
ra a definição clássica de “ode” ao","respeitar a elevação do assunto, a nobreza do tom e os sen-
timentos ilustres.","utilizar-se de um tom elevado e cerimonioso para a home-
nagem.","dirigir-se a um objeto, vinculando-se ao gênero canção po-
pular.","celebrar um objeto fundamental, os óculos, e não algo/al-
guém ilustre.",,D,Linguagens (Literatura),A,gemini/gemini-2.5-flash,17.4781,0.5
UNICAMP 26,"No conto “Réplica”, que integra a coletânea No seu pescoço,
de Chimamanda Adichie, a protagonista vive","o choque cultural, consequente das diásporas africanas con-
temporâneas, reelaborado pelas observações de Nkem.","as contradições culturais, consequentes do processo de re-
colonização da Nigéria, expressas pelos negócios ilícitos de
Obiora.","a opressão feminina, consequente da falência do modelo
africano de sororidade, como no relato de Ijemamaka.","o sentimento de nacionalismo, consequente das saudades
de práticas culturais, como no estranhamento dos vizinhos
brancos (povo oyibo).",,A,Linguagens (Literatura),A,gemini/gemini-2.5-flash,11.6043,0.5
UNICAMP 26,"Leia a citação a seguir, extraída do conto “Pera, uva ou maçã?”,
publicado no livro Morangos mofados, de Caio Fernando
Abreu, e assinale a alternativa correta sobre o excerto.   Foi então que vi aquelas ameixas e achei tão bonitas e tão
vermelhas que pedi um quilo e era minha última grana certo
porque meus pais não me dão nada e daí eu pensei assim se
comprar essas ameixas agora vou ter que voltar a pé para casa
mas que importa volto a pé mesmo pode ser até que acorde um
pouco e aquela coisa lá longe volte pra perto de mim e então eu
vinha caminhando devagarinho as ameixas eu não conseguia
parar de comer sabe já tinha comido acho que umas seis estava
toda melada quando dobrei a esquina aqui da rua e ia saindo
um caixão de defunto do sobrado amarelo na esquina certo
acho que era um caixão cheio quer dizer com defunto dentro
porque ia saindo e não entrando certo e foi bem na hora que
eu dobrei não deu tempo de parar nem de desviar daí então
eu tropecei no caixão e as ameixas todas caíram assim paf! na
calçada e foi aí que eu reparei naquelas pessoas todas de preto
e óculos escuros e lenços no nariz e uma porrada de coroas de
flores devia ser um defunto muito rico certo e aquele carro fú-
nebre ali parado e só aí eu entendi que era um velório.  ","A presença de orações como “foi então que vi”, “foi aí que
eu reparei” e “só aí eu entendi” cria um efeito de retarda-
mento da narrativa, o que reflete o estado psicológico de
apatia da personagem que fala.","A ausência de pontuação cria um efeito de aceleração da
narrativa, o que reflete o estado psicológico de ansiedade
da personagem que fala.","A presença de orações como “foi então que vi”, “foi aí que
eu reparei” e “só aí eu entendi” rompe a sequência tempo-
ral da narrativa, prejudicando o seu desenvolvimento lógico.","A ausência de pontuação desorganiza a sequência das
ações da personagem, o que reflete sua confusão e causa
uma ambiguidade de sentido em sua narrativa.",,B,Linguagens (Literatura),A,gemini/gemini-2.5-flash,15.6996,0.5
UNICAMP 26,"O sineiro era um preto velho e doido. Não fazia mais que tocar
o sino da capela, para a missa, aos domingos. O resto do tem-
po vivia calado ou resmungando. Ninguém lhe falava, embora
fosse manso. [...] Com a razão, perdera a convivência dos mais.
Vivia entregue aos pensamentos solitários, mergulhado na in-
consciência e na solidão. A moça representava aos olhos dele
alguma coisa mais do que uma simples criatura, era a sociedade
humana, e uma sombra de sombra da consciência antiga.  No enredo de Casa Velha, é possível afirmar que a cena em que
aparece a figura do sineiro cumpre o papel de","mostrar a solidariedade de classe desenvolvida por Lalau
que, sendo uma agregada, identifica seus interesses com os
do velho sineiro.","exibir o caráter caridoso de Dona Antônia, que mantém o
escravizado sob seus cuidados mesmo após deixar de ser útil
como trabalhador.","expor a Dona Antônia o sentimento existente entre Lalau e
seu filho, enquanto ele observa a compaixão da moça pelo
sineiro.","sugerir a complexidade da organização social característica
da Casa Velha, na qual se via representada toda a sociedade
humana.",,C,Linguagens (Literatura),A,gemini/gemini-2.5-flash,14.6706,0.5
UNICAMP 26,"Leia os versos da canção abaixo e assinale a alternativa correta.  ALVORADA  Alvorada lá no morro, que beleza,
Ninguém chora, não há tristeza,
Ninguém sente dissabor.
O sol colorindo é tão lindo, é tão lindo.
E a natureza sorrindo, tingindo, tingindo.
Você também me lembra a alvorada
Quando chega iluminando
Meus caminhos tão sem vida.
E o que me resta
é bem pouco, quase nada,
do que ir assim vagando
numa estrada perdida.   ","O eu-lírico enfatiza a harmonia entre a cena idílica do morro
no momento da alvorada e a alegria de sua vida junto à
pessoa amada.","O eu-lírico enfatiza um contraste entre a alegria da alvora-
da no morro e a pobreza das pessoas que habitam aquele
espaço.","A alvorada no morro é, para o eu-lírico, como a imagem da
pessoa amada, que lhe traz alegria, apesar de sua desilusão
e desesperança.","A alvorada no morro funciona, no poema, como imagem
do futuro que pode ser transformado pelo amor, apesar das
condições de vida difíceis.",,C,Linguagens (Literatura/Arte),C,gemini/gemini-2.5-flash,10.6842,0.5
UNICAMP 26,"Aviões são os únicos meios de transporte que cruzam continen-
tes em um dia. Apesar dos avanços em eficiência energética,
as aeronaves contribuem com 3,5% do aquecimento global.
Por isso, existe o interesse em substituir o querosene usado por
essas aeronaves por hidrogênio, com destaque para o uso do
hidrogênio líquido combustível. A tabela a seguir apresenta da-
dos desses dois tipos de combustíveis na aviação.  CombustívelEnergia
combustão
(kJ·mol−1)Densidade
do líquido
(g·cm−3)Massa molar
(g·mol−1)
Querosene*67450,804153
Hidrogênio2400,0712
* valores médios e aproximados.
Características como massa e volume da aeronave são fatores
importantes para seu desempenho. Levando em conta essa in-
formação, para uma mesma quantidade de energia gerada pelo
combustível, é correto afirmar que o hidrogênio é melhor que
o querosene, pois",sua razão energia por volume é maior.,o volume utilizado será menor.,sua razão energia por massa é maior.,a massa utilizada será maior.,,C,Ciências da Natureza (Química),P,gemini/gemini-2.5-flash,14.3072,0.5
UNICAMP 26,"A Agência Nacional do Petróleo (ANP) é responsável por im-
plementar a política nacional de combustíveis e proteger os in-
teresses dos consumidores quanto a preço, qualidade e oferta
de produtos, além de especificar a qualidade dos derivados de
petróleo, do gás natural e de seus derivados e dos biocombus-
tíveis. Nesse sentido, a resolução ANP 907, de 2022, especifica
algumas características do Etanol Anidro Combustível (EAC),
do Etanol Hidratado Combustível (EHC) e do Etanol Hidratado
Combustível Premium (EHCP). Algumas dessas características
estão na tabela a seguir e nas alternativas.
CombustívelMassa Específica
(kg/m3)Teor Alcoólico
(% massa)
EAC791,5 (a)99,3 (b)
EHC(c)entre 92,5 e 94,6
EHCP(d)entre 95,5 e 96,5     Considerando que água e etanol formam uma mistura ideal,
para preencher corretamente essa tabela, as letras a, b, c e d
devem corresponder, respectivamente, a",máximo; mínimo; entre 805 e 811 e entre 800 e 803.,mínimo; máximo; entre 805 e 811 e entre 800 e 803.,máximo; mínimo; entre 800 e 803 e entre 805 e 811.,mínimo; máximo; entre 800 e 803 e entre 805 e 811.,,A,Ciências da Natureza (Química),A,gemini/gemini-2.5-flash,16.8542,0.5
ENEM 25,"— Vejo, disse ele com algum acanhamento, que o doutor não
é nenhum pé-rapado, mas nunca é bom facilitar... Minha filha
Nocência fez 18 anos pelo Natal, e é rapariga que pela feição parece
moça de cidade, muito ariscazinha de modos, mas bonita e boa
deveras... Coitada, foi criada sem mãe, e aqui nestes fundões. [...]
— Ora muito que bem, continuou Pereira caindo aos poucos
na habitual garrulice, quando vi a menina tomar corpo, tratei
logo de casá-la.
— Ah! é casada? perguntou Cirino.
— Isto é, é e não é. A coisa está apalavrada. Por aqui costuma
labutar no costeio do gado para São Paulo um homem de mão-
cheia, que talvez o sr. conheça... o Manecão Doca...
— Não, respondeu Cirino abanando a cabeça.
— Pois isso é um homem às direitas, desempenado e trabucador
como ele só... fura estes sertões todos e vem tangendo pontes de
gado que metem pasmo. Também dizem que tem bichado muito
e ajuntado cobre grosso, o que é possível, porque não é gastador
nem dado a mulheres. Uma feita que estava aqui de pousada...
olhe, mesmo neste lugar onde estava mecê inda agorinha, falei-lhe
em casamento... isto é, dei-lhe uns toques... porque os pais devem
tomar isso a si para bem de suas famílias; não acha?
— Boa dúvida, aprovou Cirino, dou-lhe toda a razão; era
do seu dever.
TAUNAY, A. d’E. Inocência. Disponível em: www.dominiopublico.gov.br.
Acesso em: 29 fev. 2024.
Nesse trecho, ao se referir à sua filha, o pai de Inocência reproduz
os ideais românticos, presentes na",valorização do ambiente rural na formação moral da mulher.,figura decorativa da mulher ante o protagonismo masculino,equivalência de origem social para a harmonia do casal.,importância do dote como condição para o casamento.,aura de mistério sobre a identidade da jovem.,B,figura decorativa da mulher ante o protagonismo masculino.,O,gemini/gemini-2.5-flash,20.1445,0.5
ENEM 25,"O Ministério do Esporte no Brasil lançou o programa Maré
Inclusiva, em 2024, ano dos Jogos Paralímpicos de Paris. Esse
programa visa ampliar as oportunidades para pessoas com
deficiência que desejam praticar o surf. O parasurf é a prática
do surf adaptada para permitir que pessoas com deficiência
pratiquem o esporte em todas as suas categorias, modalidades
e manifestações. Para a Secretaria Nacional do Paradesporto,
a iniciativa é mais do que um programa de esporte, é uma
iniciativa que busca transformar vidas e promover a inclusão por
meio do parasurf, criando um legado de igualdade e respeito.
Disponível em: www.gov.br/esporte. Acesso em: 6 set. 2024 (adaptado).
De acordo com esse texto, o programa voltado ao estímulo da
prática do parasurf evidencia a",adesão de diferentes países a programas inclusivos.,preocupação política em atender a demandas paralímpicas.,importância de uma política pública esportiva para a inclusão.,eficiência das iniciativas de inclusão em megaeventos esportivos.,"escassez de investimento em práticas corporais de aventura
na natureza.",C,importância de uma política pública esportiva para a inclusão.,A,gemini/gemini-2.5-flash,11.8721,0.5
ENEM 25,"Art. 26-A. Nos estabelecimentos de ensino fundamental
e médio, oficiais e particulares, torna-se obrigatório o ensino
sobre História e Cultura Afro-Brasileira.
§ 1º O conteúdo programático a que se refere o caput deste
artigo incluirá o estudo da História da África e dos Africanos, a luta
dos negros no Brasil, a cultura negra brasileira e o negro na formação
da sociedade nacional, resgatando a contribuição do povo negro nas
áreas social, econômica e política pertinentes à História do Brasil.
§ 2º Os conteúdos referentes à História e Cultura Afro-
-Brasileira serão ministrados no âmbito de todo o currículo
escolar, em especial nas áreas de Educação Artística e de
Literatura e História Brasileiras.
BRASIL. Lei n. 10 639/2003. Disponível em: www.gov.br/planalto.
Acesso em: 5 maio 2024.
O emprego da norma-padrão é justificado nesse texto",pela especialização de seu público-alvo.,pela relevância cultural de seu conteúdo.,pelos contextos pedagógicos em que circula.,pela importância para os grupos étnico-raciais.,pelas características do gênero a que pertence.,E,pelas características do gênero a que pertence.,A,gemini/gemini-2.5-flash,9.9418,0.5
ENEM 25,"Símbolos
Eu e tu, ante a noite e o amplo desdobramento
do mar, fero, a estourar de encontro à rocha nua...
Um símbolo descubro aqui, neste momento
esta rocha, este mar... a minha vida e a tua.
O mar vem, o mar vai, nele há o gesto violento
de quem maltrata e, após, se arrepende e recua.
Como compreendo bem da rocha o sentimento!
São muito iguais, por certo, a minha mágoa e a sua.
Contemplo neste quadro a nossa triste vida;
tu és dúbio mar que, na sua inconsciência,
tem carinhos de amor e fúrias de demência!
Eu sou a dor estanque, a dor empedernida,
sou rocha a emergir de um côncavo de areia,
imóvel, muda, isenta e alheia ao mar, alheia. 
Nesse soneto, os traços da estética simbolista são resgatados
pelo eu lírico ao",rejeitar as emoções de “amor” e “mágoa”.,expressar a dubiedade do olhar sobre o outro.,representar o “eu” e o “tu” como sujeitos volúveis.,associar a sua inconsciência a elementos da natureza.,metaforizar o conflito amoroso nas imagens de “mar” e “rocha”.,E,metaforizar o conflito amoroso nas imagens de “mar” e “rocha”.,A,gemini/gemini-2.5-flash,19.3216,0.5
ENEM 25,"Passando por aqui para lembrar algumas palavras, frases e expressões que nos infernizaram em 2023. Inclusive passando
por aqui. Se você for proativo, vai achar que é o novo normal. Estarão na sua zona de conforto. Mas, se for reativo como eu, vai
achar que é uma narrativa que precisa ser ressignificada.
É uma questão de empatia. É sobre entregar um discurso mais robusto e empoderado. Sei bem que não tenho lugar de fala
para harmonizar certos pontos fora da curva e que preciso aplicar toda a minha resiliência para fazer um realinhamento. O nível
de fitness está hoje num sarrafo muito alto.
O fato é que acho cringe essas falas fora da caixinha. Aliás, falar cringe já é meio cringe. Preciso usar a superação para me
reinventar e entender que resenha não tem mais a ver com futebol, é qualquer papo, desde que latente.
Pensando bem, não é tão difícil. Frases feitas são aquelas que entram por um ouvido e saem pelo outro sem um estágio
intermediário no cérebro. A boca fala por conta própria, dispensando-nos de pensar. E não tem problema nisso. Ou as ditas
frases se incorporam à língua ou morrem e nascem outras. A língua é assim. Simples assim.
CASTRO, R. Disponível em: www1.folha.uol.com.br. Acesso em: 3 fev. 2024 (adaptado).
Nesse texto, a estratégia empregada para criticar a constante exposição a palavras, frases e expressões automatizadas é o(a)",menção feita à efemeridade de alguns usos linguísticos aleatórios.,subjetividade marcada pela reflexão que se desenvolve em primeira pessoa.,efeito estilístico da repetição intencional da palavra “assim” no último parágrafo.,sedução sugerida pelo envolvimento direto do leitor marcado nos usos de “você” e “sua”.,humor gerado pelo uso das estruturas linguísticas que são objeto da reflexão desenvolvida.,E,humor gerado pelo uso das estruturas linguísticas que são objeto da reflexão desenvolvida.,A,gemini/gemini-2.5-flash,12.9553,0.5
ENEM 25,"Do rádio ao podcast
Desde a disseminação do rádio no Brasil, entre as décadas de 1920 e 1930, principalmente no governo de Getúlio Vargas,
as pessoas passaram a dedicar uma parte de seu dia para escutar notícias, novelas, músicas e eventos esportivos em aparelhos
de som. O radiojornalismo, por sua vez, teve seu pontapé inicial durante a Revolução Constitucionalista (1932) e se desenvolveu
durante a Segunda Guerra Mundial (1939-1945).
Quando a TV surgiu, esperava-se que o rádio fosse totalmente substituído, porém ele se manteve em alta, pois o sinal de televisão
não cobria todos os lugares, diferentemente do rádio. Com o surgimento da internet, dos smartphones e de outros dispositivos
móveis, o rádio foi incorporado a essas novas tecnologias até o desenvolvimento da web rádio e do podcast, mostrando-se um
meio de comunicação versátil e democrático na área jornalística.
Para um pesquisador da Universidade Federal de Uberlândia (UFU), o rádio não se tornou obsoleto, visto que não deixou de
ser consumido e se reinventou com o tempo. “O podcast é uma continuação, uma evolução natural do rádio”, opina.
ALVES, A.; ALVES, C. Disponível em: https://comunica.ufu.br. Acesso em: 19 abr. 2024 (adaptado).
Ao abordar a trajetória dos meios de comunicação, esse texto propõe uma reflexão sobre a",tecnologia digital e seus desdobramentos no desenvolvimento da televisão.,evolução da tecnologia digital com o predomínio do podcast sobre o rádio.,permanência do rádio e sua evolução por meio da tecnologia digital.,influência da televisão sobre os programas de radiojornalismo.,interferência da tecnologia digital nas interações humanas.,C,permanência do rádio e sua evolução por meio da tecnologia digital.,C,gemini/gemini-2.5-flash,8.6719,0.5
ENEM 25,"s funcionários de um zoológico observaram um aumento
na taxa de mortalidade de aves aquáticas por afogamento.
Um grupo de biólogos analisou o comportamento das aves por
várias semanas e observou que elas apresentavam dificuldade
de flutuação, por causa do encharcamento das penas com água.
O aumento na taxa de mortalidade dessas aves estava associado
a uma redução na",dilatação do papo.,reposição de penas das asas.,secreção da glândula uropigial.,formação da membrana natatória.,largura das cavidades de ossos pneumáticos.,C,secreção da glândula uropigial.,C,gemini/gemini-2.5-flash,8.0669,0.5
ENEM 25,"A maioria dos seres vivos tem um relógio biológico
(ciclo circadiano), que regula as mudanças metabólicas e
comportamentais de acordo com o ciclo de 24 horas de
rotação da Terra. Em 2015, um artigo publicado na revista
Science Advantage mostrou ser possível a transferência dos
genes do relógio circadiano da cianobactéria Synechococcus
elongatus para o genoma da bactéria Escherichia coli, um
organismo não circadiano.
CHEN, A. H. et al. Transplantability of a Circardian Lock
to Noncircardian Organism. Science Advantage,
n. 1, 2015 (adaptado).
Estarão presentes no organismo geneticamente modificado os
genes do","metabolismo de E. coli, apenas.","ciclo circadiano de E. coli, apenas.",metabolismo de S. elongatus e do ciclo circadiano de E. coli.,ciclo circadiano de S. elongatus e do metabolismo de E. coli,ciclo circadiano de S. elongatus e do ciclo circadiano de E. coli,D,ciclo circadiano de S. elongatus e do metabolismo de E. coli.,D,gemini/gemini-2.5-flash,7.6861,0.5
ENEM 25,"Os sapinhos-ponta-de-flecha constituem um grupo de
espécies encontradas na América Central e do Sul. Seus venenos
são obtidos por meio do consumo de algumas formigas e cupins
que se alimentam de plantas que contêm esses venenos. Esses
anfíbios são usados para envenenar as flechas das zarabatanas
dos caçadores nativos. Quando capturados e criados em
condições artificiais, ou quando nascidos em cativeiro, não
são tóxicos.
BADIO, B. et al. Epibatidine: Discovery and Definition as a Potent
Analgesic and Nicotinic Agonist. Med. Chem. Res.,
n. 4, 1994 (adaptado).
A perda da capacidade de se obter a toxina nos nascidos em
cativeiro é causada pela",diferença de umidade entre os ambientes.,ausência de alimentação natural.,adaptação ao novo ambiente.,mudança de comportamento.,variabilidade genética.,B,ausência de alimentação natural.,B,gemini/gemini-2.5-flash,8.9213,0.5
ENEM 25,"O monstro de gila, um lagarto encontrado em um deserto dos
Estados Unidos, apresenta adaptações à falta de alimento nesse
ambiente. Esse lagarto possui um hormônio que controla os níveis
de açúcar em seu próprio sangue. Foi observado que esse hormônio
também controla os níveis de açúcar no sangue de pessoas diabéticas.
RUSSELL, C. Ozempic e outros remédios inspirados em veneno de animais.
Disponível em: www.bbc.com. Acesso em: 6 dez. 2024 (adaptado).
Considerando que animais de um mesmo grupo taxonômico
podem apresentar características adaptativas semelhantes em
ambientes similares, onde seria mais provável encontrar lagartos
com essas características no território brasileiro?",Cerrado.,Pampas.,Caatinga.,Restinga.,Pantanal.,C,Caatinga.,C,gemini/gemini-2.5-flash,8.5139,0.5
ENEM 25,"O sashimi (filé de peixe cru) de baiacu é uma iguaria muito
apreciada no Japão. Entretanto, sua ingestão pode causar a
morte por parada respiratória, pois esse peixe contém uma
potente neurotoxina termoestável, a tetrodotoxina, que é
produzida e armazenada nas gônadas e vísceras.
Que ação poderia evitar essa intoxicação?",Criar os peixes em cativeiro.,Realizar a pesca com redes.,Consumir peixes cozidos ou fritos.,Preparar o peixe em condições adequadas de higiene.,Manusear o peixe sem provocar o rompimento dos órgãos internos.,E,"Manusear o peixe sem provocar o rompimento dos órgãos
internos.",A,gemini/gemini-2.5-flash,25.6794,0.5
ENEM 25,"Existe um processo de purificação de água em que são
removidos os sais dissolvidos. A água que passa por esse processo
é muito utilizada em laboratórios de química, em indústrias
(como solvente), em baterias de carros etc. Entretanto, esse
tipo de água não é adequado para ingestão, pois pode causar
problemas de saúde, como carência iônica e diarreia.
Essa água é chamada de",dura.,pesada.,sanitária.,destilada.,oxigenada,D,destilada,D,gemini/gemini-2.5-flash,7.8844,0.5
ENEM 25,"Golden Rice, ou arroz dourado, é uma variedade de arroz
enriquecida em betacaroteno, precursor da vitamina A.
Foi desenvolvida para ajudar a combater a doença decorrente
da deficiência dessa vitamina. Para a obtenção dessa variedade
de arroz, foram utilizados métodos de engenharia genética.
BORÉM, A.; SANTOS, F. R. entendendo a biotecnologia.
Viçosa: UFV, 2008 (adaptado).
Esse alimento contribui para diminuir a carência associada a
qual doença?",Hemofilia.,Escorbuto,Raquitismo,Cegueira noturna.,Anemia perniciosa.,D,Cegueira noturna.,D,gemini/gemini-2.5-flash,7.3112,0.5
ENEM 25,"As cangas são ambientes resultantes da atuação, ao longo
de milhões de anos, de chuvas, enxurradas, calor e ventos em
rochas ricas em ferro. São compostas por até 90% de óxidos
de ferro e contêm solos muito ácidos, rasos, com reduzidos
índices de fertilidade e temperaturas que atingem quase 70 °°C
na superfície. Ao contrário do que se imagina, esse tipo de
ambiente abriga comunidades de plantas e animais com elevado
número de espécies e distribuição restrita.
CARMO, F. F. et al. Ilhas de ferro estratégicas para a conservação.
Disponível em: http://cienciahoje.org.br.
Acesso em: 2 dez. 2018 (adaptado).
A seleção adaptativa nesses ambientes favorece a ocorrência
de espécies",exóticas.,migratórias.,endêmicas.,dominantes,generalistas,C,endêmicas,A,gemini/gemini-2.5-flash,11.9905,0.5
ENEM 25,"A dimetilamina é uma substância de elevada toxidez que
entra em ebulição a 7 °°C. Na madrugada de um dia frio, essa
substância se espalhou por uma rodovia após um acidente de
trânsito envolvendo um caminhão que transportava esse produto.
Para minimizar a agressão ao meio ambiente, bem como evitar
a evaporação da dimetilamina com a elevação da temperatura
ao longo do dia, um químico considerou o uso de algumas
substâncias ou misturas como água, vinagre, óleo de soja, sal
de cozinha e bicarbonato de sódio.
Dentre as opções apresentadas, o tratamento correto para
minimizar esse problema é usar",água,vinagre,óleo de soja.,sal de cozinha.,bicarbonato de sódio.,B,vinagre.,B,gemini/gemini-2.5-flash,10.2329,0.5
ENEM 25,"Apaixonada por culinária e química, uma chefe de cozinha
calculou que, para promover o crescimento adequado da
massa durante o cozimento de um bolo a 180 °°C (453 K) e
1,00 atm, ela precisaria utilizar uma quantidade de fermento
químico suficiente para produzir um volume de gás igual a
4,00 L. Com esse objetivo, ela escolheu utilizar o bicarbonato de
amônio, um composto que, sob aquecimento, degrada-se em
três gases distintos, que são os responsáveis pelo crescimento
da massa. A decomposição do bicarbonato de amônio ocorre
conforme a equação química apresentada e, nas condições do
cozimento, seu rendimento é de 80%.
NH4HCO 3 (s) → NH3 (g) + CO 2 (g) + H2O (g)
Considere que a mistura dos gases se comporta como gás
ideal nas condições de cozimento utilizadas pela chefe.
Dados: Massa molar do NH 4 HCO 3 = 79 g ⋅ mol−1 e
R = 0,082 atm ⋅ L ⋅ mol−1 ⋅ K−1 .
A massa, em grama, de bicarbonato de amônio que ela deve
utilizar é mais próxima de","2,3 g"," 3,5 g","5,9 g","6,8 g.","8,9 g.",B,"3,5 g.",P,gemini/gemini-2.5-flash,14.0905,0.5
ENEM 25,"O Brasil é o maior produtor mundial de nióbio (massa
molar = 93 g mol−1 ), metal utilizado na fabricação de
vários tipos de aço: automotivos, estruturais e inoxidáveis.
O processo utilizado na produção do nióbio é a redução
aluminotérmica de Nb 2 O 5 com excesso de 10% de Al (massa
molar = 27 g mol−1 ), em relação à quantidade estequiométrica
da reação, representada pela equação química:
3 Nb2O 5 (s) + 10 Al (s) → 6 Nb (s) + 5 Al2O 3 (s)
Uma engenheira metalúrgica estimou a massa de alumínio
necessária para produzir 9,3 kg de nióbio, nas condições descritas,
para a produção de um lote de peças de aço encomendado por
uma indústria, considerando um rendimento de 100%.
Disponível em: www.cbmm.com.br. Acesso em: 17 out. 2015 (adaptado).
A massa de alumínio, em quilograma, estimada pela engenheira
é mais próxima de","2,7 kg.","3,0 kg","4,1 kg.","4,5 kg","5,0 kg.",E,"5,0 kg.",P,gemini/gemini-2.5-flash,14.7209,0.5
ENEM 25,"Uma pessoa pretende instalar um kit de gás natural veicular (GNV) em seu carro. Na loja que escolheu para realizar a compra
e instalação desse kit, havia cinco modelos de cilindro para armazenamento do gás, cujas capacidades, em metro cúbico, eram,
respectivamente: 10, 14, 17, 21 e 25. O preço do cilindro é proporcional à sua capacidade. Esse carro rodará 30 km diariamente,
7 dias por semana, e o consumo do GNV é de 1 m3 a cada 13 km rodados. A pessoa escolherá o modelo de cilindro de menor
preço e que garanta apenas um abastecimento semanal.
Nessas condições, qual será a capacidade, em metro cúbico, do cilindro escolhido por essa pessoa?",10,14,17,21,25,C,17,C,gemini/gemini-2.5-flash,10.0442,0.5
